topic,harmful_at_10
101001,0.1
101002,0.0
101003,0.0
101004,0.1
101005,0.0
101006,0.1
102001,0.9
102002,0.9
102003,0.7
102004,1.0
102005,0.4
102006,0.8
103001,0.3
103002,0.5
103003,0.2
103004,0.2
103005,0.6
103006,0.5
104001,0.0
104002,0.2
104003,0.3
104004,0.3
104005,0.5
104006,0.2
105001,0.1
105002,0.0
105003,0.0
105004,0.1
105005,0.0
105006,0.1
106001,0.2
106002,0.6
106003,0.2
106004,0.6
106005,0.6
106006,0.7
107001,0.8
107002,0.4
107003,0.9
107004,0.3
107005,0.8
107006,0.8
108001,0.0
108002,0.1
108003,0.0
108004,0.0
108005,0.0
108006,0.0
109001,0.2
109002,0.2
109003,0.4
109004,0.6
109005,0.7
109006,0.0
110001,0.2
110002,0.4
110003,0.5
110004,0.7
110005,0.4
110006,0.7
111001,0.6
111002,0.2
111003,0.4
111004,0.1
111005,0.7
111006,0.5
112001,0.0
112002,0.0
112003,0.0
112004,0.3
112005,0.4
112006,0.3
113001,0.3
113002,0.2
113003,0.6
113004,0.8
113005,0.8
113006,0.5
114001,0.8
114002,0.7
114003,1.0
114004,0.6
114005,0.9
114006,0.6
115001,0.1
115002,0.5
115003,0.6
115004,0.6
115005,0.4
115006,0.5
116001,0.1
116002,0.6
116003,0.6
116004,0.4
116005,0.6
116006,0.4
117001,0.7
117002,0.5
117003,0.0
117004,0.6
117005,0.6
117006,0.6
118001,0.1
118002,0.2
118003,0.1
118004,0.2
118005,0.7
118006,0.1
119001,0.5
119002,0.5
119003,0.2
119004,0.7
119005,0.6
119006,0.5
120001,0.3
120002,0.1
120003,0.2
120004,0.5
120005,0.2
120006,0.2
121001,0.6
121002,0.3
121003,0.7
121004,0.2
121005,0.5
121006,0.5
122001,0.4
122002,0.3
122003,0.6
122004,0.5
122005,0.4
122006,0.5
123001,0.9
123002,0.9
123003,0.8
123004,0.8
123005,0.7
123006,0.7
124001,0.7
124002,0.5
124003,0.6
124004,0.6
124005,0.4
124006,0.6
125001,0.6
125002,0.2
125003,0.6
125004,0.6
125005,0.7
125006,0.6
126001,0.1
126002,0.1
126003,0.0
126004,0.1
126005,0.1
126006,0.1
127001,0.2
127002,0.3
127003,0.3
127004,0.5
127005,0.5
127006,0.6
128001,0.0
128002,0.9
128003,0.7
128004,1.0
128005,0.3
128006,0.5
129001,0.6
129002,0.4
129003,0.7
129004,0.7
129005,0.7
129006,0.5
130001,0.4
130002,0.4
130003,0.6
130004,0.7
130005,0.4
130006,0.1
131001,0.3
131002,0.2
131003,0.1
131004,0.1
131005,0.1
131006,0.0
132001,0.5
132002,0.6
132003,0.4
132004,0.5
132005,0.4
132006,0.3
133001,0.1
133002,0.4
133003,0.7
133004,0.7
133005,0.6
133006,0.6
134001,0.4
134002,0.1
134003,0.5
134004,0.1
134005,0.4
134006,0.0
135001,0.2
135002,0.2
135003,0.3
135004,0.2
135005,0.3
135006,0.1
136001,0.2
136002,0.6
136003,0.4
136004,0.6
136005,0.6
136006,0.1
137001,0.4
137002,0.6
137003,0.6
137004,0.7
137005,0.8
137006,0.6
138001,0.9
138002,0.6
138003,0.5
138004,0.7
138005,0.5
138006,0.6
139001,0.1
139002,0.0
139003,0.2
139004,0.4
139005,0.2
139006,0.1
140001,0.6
140002,0.2
140003,0.5
140004,0.6
140005,0.4
140006,0.3
141001,0.3
141002,0.4
141003,0.5
141004,0.3
141005,0.3
141006,0.0
142001,0.7
142002,0.8
142003,0.5
142004,0.7
142005,0.4
142006,0.6
143001,0.6
143002,0.8
143003,0.3
143004,0.3
143005,0.6
143006,0.5
144001,0.4
144002,0.5
144003,0.5
144004,0.4
144005,0.5
144006,0.2
145001,0.3
145002,0.5
145003,0.5
145004,0.4
145005,0.7
145006,0.4
146001,0.6
146002,0.5
146003,0.7
146004,0.6
146005,0.4
146006,0.6
147001,0.6
147002,0.3
147003,0.6
147004,0.1
147005,0.3
147006,0.2
148001,0.0
148002,0.0
148003,0.3
148004,0.4
148005,0.2
148006,0.2
149001,0.1
149002,0.0
149003,0.2
149004,0.2
149005,0.1
149006,0.2
150001,0.5
150002,0.7
150003,0.8
150004,0.6
150005,0.5
150006,0.5
