,avg_idf
151,4.038402310675088
152,3.8248929078359586
153,5.739733378368452
154,2.9833585709056814
155,5.701632014544213
156,4.710897501622643
157,4.345340831029878
158,5.164181020220268
159,4.256925501300291
160,5.270883048647121
161,5.50601747826432
162,5.700432179655626
163,4.097894991017795
164,4.698448325939182
165,1.9961890340237947
166,2.437340006486639
167,2.6403568793991674
168,3.542636573792914
169,5.463823155381196
170,3.8792265655271976
171,2.7676343403401953
172,3.905203804313094
173,5.45760324668981
174,4.672188706581078
175,3.9071175578187582
176,6.3427094879946235
177,4.313677781639004
178,4.02735426283584
179,4.119116523159628
180,3.7808639166623808
181,5.34536698015822
182,2.097300641892878
183,3.5776399383733235
184,3.721938755426467
185,3.30674359512072
186,5.47001947102184
187,3.154556111108416
188,3.018252218444361
189,3.8289499815423724
190,4.755422361307213
191,3.8944965409840884
192,4.01829935023858
193,4.336840953579728
194,4.7316266674674115
195,4.77753269716374
196,4.528150464066757
197,3.2591225938510746
198,4.019325025154614
199,5.575516602890946
200,5.474902391867199
