,max_scq
101004,95.3335987122898
101005,95.3335987122898
101006,95.3335987122898
102004,87.21952283329748
102005,93.27312954317762
102006,96.20113435998861
103004,74.35797058560149
103005,74.35797058560149
103006,74.35797058560149
104004,77.12426293588648
104005,90.11719775631005
104006,88.37967507354519
105004,79.15821521709009
105005,51.52766434978532
105006,51.52766434978532
106004,81.22576044537465
106005,64.5605290241282
106006,72.54416516174189
107004,89.30463259573695
107005,89.30463259573695
107006,89.30463259573695
108004,85.13045752769979
108005,85.13045752769979
108006,85.13045752769979
109004,90.06453479444131
109005,90.06453479444131
109006,92.26093042679845
110004,88.23387639069193
110005,91.00037287182644
110006,88.23387639069193
111004,96.16335931134596
111005,98.61610064855893
111006,92.05789606358611
112004,70.06687602138244
112005,75.92997547549494
112006,70.06687602138244
113004,89.21913594326769
113005,89.21913594326769
113006,83.46066601865192
114004,78.28496897894686
114005,91.01434745049337
114006,78.28496897894686
115004,87.35048875036736
115005,90.11558145158034
115006,90.11558145158034
116004,91.15251819419305
116005,91.15251819419305
116006,91.15251819419305
117004,93.03509260723165
117005,93.03509260723165
117006,93.03509260723165
118004,82.0670012048094
118005,95.05959710845104
118006,82.0670012048094
119004,93.80938589194231
119005,93.80938589194231
119006,93.80938589194231
120004,56.986532989277165
120005,94.20365131948991
120006,87.1649191144594
121004,83.19570504944431
121005,84.81394210251621
121006,84.81394210251621
122004,83.2666032328953
122005,83.2666032328953
122006,95.20308615132026
123004,94.47369848262554
123005,94.47369848262554
123006,93.08597586262752
124004,80.69568280339949
124005,80.69568280339949
124006,80.69568280339949
125004,85.13045752769979
125005,91.41885979609515
125006,85.13045752769979
126004,77.94279026905332
126005,71.26254324376569
126006,87.71454361315885
127004,86.97992870813196
127005,86.97992870813196
127006,88.64631931926627
128004,94.73721648271943
128005,82.23868132439213
128006,88.6200983760566
129004,91.70136661627896
129005,86.89489887429852
129006,86.89489887429852
130004,94.11779637435707
130005,90.46571944007685
130006,90.46571944007685
131004,93.6248882475067
131005,93.6248882475067
131006,93.6248882475067
132004,75.79146815295323
132005,83.86412439709882
132006,92.32528896501954
133004,85.82851706032457
133005,85.82851706032457
133006,91.92691215397751
134004,62.95652937249952
134005,62.95652937249952
134006,62.95652937249952
135004,83.05538871285472
135005,83.05538871285472
135006,83.05538871285472
136004,58.3484738762303
136005,73.51412484574313
136006,71.59068350726388
137004,87.43982024242828
137005,91.33449654363687
137006,91.33449654363687
138004,98.89685814004746
138005,96.11439865171664
138006,92.9528181618069
139004,87.46921601380689
139005,63.81933757242005
139006,83.76540561849674
140004,90.46571944007685
140005,90.46571944007685
140006,90.46571944007685
141004,88.37967507354519
141005,85.55216869375631
141006,85.55216869375631
142004,94.42856122827088
142005,86.33183573845822
142006,85.98659916611389
143004,95.47516209231442
143005,92.9528181618069
143006,95.47516209231442
144004,80.68841404037738
144005,80.68841404037738
144006,80.68841404037738
145004,92.60730051101437
145005,92.60730051101437
145006,92.60730051101437
146004,90.81774017630035
146005,92.17101544040823
146006,90.81774017630035
147004,74.67297776148321
147005,74.67297776148321
147006,74.67297776148321
148004,91.00037287182644
148005,57.08219615689416
148006,77.14689551345872
149004,83.76170980159284
149005,84.0153098127025
149006,87.99266918394831
150004,92.59128099457308
150005,92.59128099457308
150006,92.59128099457308
