,avg_ictf
1,1.858554223344507
2,1.8432319781973066
3,3.20831233182937
4,3.2907672120748126
5,2.0868617195194816
6,3.0656729595769687
7,1.5700345314698947
8,3.4246677583031766
9,4.026894481109454
10,3.7628265761611264
11,2.9613176822310288
12,5.503264378631934
13,0.9851726307585026
14,3.370370723728113
15,1.091520408511515
16,3.200171952978564
17,4.026894481109454
18,4.127789512410804
19,3.503485554432034
20,2.160931567835696
21,1.8792390368844611
22,4.174237190216782
23,2.7443617608331476
24,1.7452072569086645
25,1.6175231387934281
26,2.796616098910288
27,3.5544774960884267
28,3.435395886475277
29,2.0165973557581043
30,2.752461382003831
31,1.9211140919599157
32,1.0701594174077367
33,3.569594778943426
34,3.3697510164188875
35,3.6986852904323055
36,1.4059727156135602
37,2.672968203393208
38,3.962949855174297
39,2.8812326100808345
40,2.7713605224439024
41,3.2697258611759885
42,2.9460374663610494
43,2.750317145342173
44,4.548247210147519
45,5.7574137659639755
46,2.87355896086522
47,3.881112683321379
48,5.181489258921648
49,4.785360811662997
50,2.463255649941979
